1	 , I say, we ought to give him a second chance --"   "My dear Friar, haven't we given 	Peeves all the chances he deserves? He gives us all a bad name and you know, he's 	 - Sorcerer's Stone.txt	0	1
2	 eeves," he said, in a hoarse whisper, "the Bloody Baron has his own reasons for being invisible."   	Peeves almost fell out of the air in shock. He caught himself in time and hovered about a 	 - Sorcerer's Stone.txt	0	31
3	  way," snapped Ron, taking a swipe at Peeves this was a big mistake.   "STUDENTS OUT OF BED!" 	Peeves bellowed, "STUDENTS OUT OF BED DOWN THE CHARMS CORRIDOR"   Ducking under Peeves, they ran for their	 - Sorcerer's Stone.txt	0	18
4	  them and gave a squeal of delight.   "Shut up, Peeves -- please -- you'll get us thrown out."   	Peeves cackled.   "Wandering around at midnight, Ickle Firsties? Tut, tut, tut. Naughty, naughty, you'll g	 - Sorcerer's Stone.txt	0	14
5	  I didn't, you're invisible -- forgive old Peevsie his little joke, sir."   "I have business here, 	Peeves," croaked Harry. "Stay away from this place tonight."   "I will, sir, I most certainly will," said 	 - Sorcerer's Stone.txt	0	32
6	 hrough it, shut it quickly, and pressed their ears against it, listening.   "Which way did they go, 	Peeves?" Filch was saying. "Quick, tell me."   "Say 'please."' "Don't mess with me, Peeves, now where did 	 - Sorcerer's Stone.txt	0	21
7	  a doorknob rattled and something came shooting out of a classroom in front of them.   It was 	Peeves. He caught sight of them and gave a squeal of delight.   "Shut up, Peeves -- please -- you'll 	 - Sorcerer's Stone.txt	0	12
8	 hould call Filch, I should, if something's a-creeping around unseen."   Harry had a sudden idea.   "	Peeves," he said, in a hoarse whisper, "the Bloody Baron has his own reasons for being invisible."   Peeve	 - Sorcerer's Stone.txt	0	30
9	  or sneak up behind you, invisible, grab your nose, and screech, "GOT YOUR CONK!"   Even worse than 	Peeves, if that was possible, was the caretaker, Argus Filch. Harry and Ron managed to get on the 	 - Sorcerer's Stone.txt	0	8
10	  caughty."   "Not if you don't give us away, Peeves, please."   "Should tell Filch, I should," said 	Peeves in a saintly voice, but his eyes glittered wickedly. "It's for your own good, you know."   "	 - Sorcerer's Stone.txt	0	16
11	 , Peeves, now where did they go?"   "Shan't say nothing if you don't say please," said 	Peeves in his annoying singsong voice.   "All right -please."   "NOTHING! Ha haaa! Told you I wouldn't say	 - Sorcerer's Stone.txt	0	23
12	  climbed the stairs.   "Don't ask me, they're supposed to be really stupid," said Ron. "Maybe 	Peeves let it in for a Halloween joke."   They passed different groups of people hurrying in different dir	 - Sorcerer's Stone.txt	0	25
13	  did they go, Peeves?" Filch was saying. "Quick, tell me."   "Say 'please."' "Don't mess with me, 	Peeves, now where did they go?"   "Shan't say nothing if you don't say please," said Peeves 	 - Sorcerer's Stone.txt	0	22
