1	  in a violet top hat had bowed to him once while out shopping with Aunt Petunia and 	Dudley. After asking Harry furiously if he knew the man, Aunt Petunia had rushed them out of the 	 Sorcerer's Stone.txt	0	62
2	  mistake. A wizard? Him? How could he possibly be? He'd spent his life being clouted by 	Dudley, and bullied by Aunt Petunia and Uncle Vernon; if he was really a wizard, why hadn't 	 Sorcerer's Stone.txt	0	119
3	 .   Uncle Vernon stopped at last outside a gloomy-looking hotel on the outskirts of a big city. 	Dudley and Harry shared a room with twin beds and damp, musty sheets. Dudley snored but Harry stayed 	 Sorcerer's Stone.txt	0	106
4	  her time craning over garden fences, spying on the neighbors. The Dursleys had a small son called 	Dudley and in their opinion there was no finer boy anywhere.   The Dursleys had everything they wanted, bu	 Sorcerer's Stone.txt	0	1
5	  ideas.   It was a very sunny Saturday and the zoo was crowded with families. The Dursleys bought 	Dudley and Piers large chocolate ice creams at the entrance and then, because the smiling lady in the 	 Sorcerer's Stone.txt	0	47
6	  and yelled at Harry, his face like a gigantic beet with a mustache: "MOTORCYCLES DON'T FLY!"   	Dudley and Piers sniggered.   I know they don't," said Harry. "It was only a dream."   But he 	 Sorcerer's Stone.txt	0	46
7	  in mid- jump.   But today, nothing was going to go wrong. It was even worth being with 	Dudley and Piers to be spending the day somewhere that wasn't school, his cupboard, or Mrs. Figg'	 Sorcerer's Stone.txt	0	45
8	  glass, all sorts of lizards and snakes were crawling and slithering over bits of wood and stone. 	Dudley and Piers wanted to see huge, poisonous cobras and thick, man-crushing pythons. Dudley quickly foun	 Sorcerer's Stone.txt	0	51
9	  a long time. He was careful to walk a little way apart from the Dursleys so that 	Dudley and Piers, who were starting to get bored with the animals by lunchtime, wouldn't fall back 	 Sorcerer's Stone.txt	0	49
10	  on his first day at Stonewall High -- like he was wearing bits of old elephant skin, probably.   	Dudley and Uncle Vernon came in, both with wrinkled noses because of the smell from Harry's new 	 Sorcerer's Stone.txt	0	77
11	 , his hair simply grew that way -- all over the place.   Harry was frying eggs by the time 	Dudley arrived in the kitchen with his mother. Dudley looked a lot like Uncle Vernon. He had a 	 Sorcerer's Stone.txt	0	20
12	  bridge, and at the top of a multilevel parking garage.   "Daddy's gone mad, hasn't he?" 	Dudley asked Aunt Petunia dully late that afternoon. Uncle Vernon had parked at the coast, locked them all	 Sorcerer's Stone.txt	0	108
13	  shredded the letters in her food processor.   "Who on earth wants to talk to you this badly?" 	Dudley asked Harry in amazement.   On Sunday morning, Uncle Vernon sat down at the breakfast table looking	 Sorcerer's Stone.txt	0	102
14	  because of the smell from Harry's new uniform. Uncle Vernon opened his newspaper as usual and 	Dudley banged his Smelting stick, which he carried everywhere, on the table.   They heard the click of the	 Sorcerer's Stone.txt	0	78
15	  the room that looked as though they'd never been touched.   From downstairs came the sound of 	Dudley bawling at his mother, I don't want him in there... I need that room... make him 	 Sorcerer's Stone.txt	0	97
16	 , "...   and leave him in the car...."   "That car's new, he's not sitting in it alone...."   	Dudley began to cry loudly. In fact, he wasn't really crying -- it had been years since he'	 Sorcerer's Stone.txt	0	36
17	  NINE   THE MIDNIGHT DUEL   Harry had never believed he would meet a boy he hated more than 	Dudley, but that was before he met Draco Malfoy. Still, first-year Gryffindors only had Potions with the 	 Sorcerer's Stone.txt	0	137
18	 outed.   "Let me see it!" demanded Dudley.   "OUT!" roared Uncle Vernon, and he took both Harry and 	Dudley by the scruffs of their necks and threw them into the hall, slamming the kitchen door behind 	 Sorcerer's Stone.txt	0	87
19	 .   "DUDLEY! MR. DURSLEY! COME AND LOOK AT THIS SNAKE! YOU WON'T BELIEVE WHAT IT'S DOING!"   	Dudley came waddling toward them as fast as he could.   "Out of the way, you," he said, punching 	 Sorcerer's Stone.txt	0	58
20	  Aunt Petunia a cup of strong, sweet tea while he apologized over and over again. Piers and 	Dudley could only gibber. As far as Harry had seen, the snake hadn't done anything except snap 	 Sorcerer's Stone.txt	0	60
21	  had anything as horrible as your head down it -- it might be sick." Then he ran, before 	Dudley could work out what he'd said.   One day in July, Aunt Petunia took Dudley to London 	 Sorcerer's Stone.txt	0	72
22	  off to secondary school and, for the first time in his life, he wouldn't be with 	Dudley. Dudley had been accepted at Uncle Vernon's old private school, Smeltings. Piers Polkiss was going 	 Sorcerer's Stone.txt	0	69
23	 ts of pictures of what looked like a large pink beach ball wearing different-colored bonnets -- but 	Dudley Dursley was no longer a baby, and now the photographs showed a large blond boy riding his 	 Sorcerer's Stone.txt	0	10
24	  Harry thought, licking it as they watched a gorilla scratching its head who looked remarkably like 	Dudley, except that it wasn't blond.   Harry had the best morning he'd had in a long 	 Sorcerer's Stone.txt	0	48
25	  was working, but as he slid the first six fat, juicy, slightly burnt sausages from the poker, 	Dudley fidgeted a little. Uncle Vernon said sharply, "Don't touch anything he gives you, Dudley."   The gi	 Sorcerer's Stone.txt	0	117
26	 ," said Uncle Vernon from behind his paper.   "Make Harry get it."   "Get the mail, Harry."   "Make 	Dudley get it."   "Poke him with your Smelting stick, Dudley."   Harry dodged the Smelting stick and went 	 Sorcerer's Stone.txt	0	80
27	 .   When the mail arrived, Uncle Vernon, who seemed to be trying to be nice to Harry, made 	Dudley go and get it. They heard him banging things with his Smelting stick all the way down 	 Sorcerer's Stone.txt	0	99
