1	  know whether to laugh or not.   "Is he -- a bit mad?" he asked Percy uncertainly.   "Mad?" said 	Percy airily. "He's a genius! Best wizard in the world! But he is a bit mad, yes. 	 - Sorcerer's Stone.txt	0	13
2	  portrait of a very fat woman in a pink silk dress.   "Password?" she said. "Caput Draconis," said 	Percy, and the portrait swung forward to reveal a round hole in the wall. They all scrambled through 	 - Sorcerer's Stone.txt	0	25
3	  zooming away, rattling coats of armor as he passed.   "You want to watch out for Peeves," said 	Percy, as they set off again.   "The Bloody Baron's the only one who can control him, he 	 - Sorcerer's Stone.txt	0	24
4	  hissed Ron, pulling Harry behind a large stone griffin.   Peering around it, however, they saw not 	Percy but Snape. He crossed the corridor and disappeared from view.   "What's he doing?" Harry whispered.	 - Sorcerer's Stone.txt	0	31
5	  Christmas cake, everyone felt too full and sleepy to do much before bed except sit and watch 	Percy chase Fred and George all over Gryffindor tower because they'd stolen his prefect badge.   It had 	 - Sorcerer's Stone.txt	0	38
6	 , too, carried a lumpy sweater over his arm, which Fred seized.   "P for prefect! Get it on, 	Percy, come on, we're all wearing ours, even Harry got one."   "I -- don't -- want said Percy 	 - Sorcerer's Stone.txt	0	33
7	 nts."   Gryffindor cheers nearly raised the bewitched ceiling; the stars overhead seemed to quiver. 	Percy could be heard telling the other prefects, "My brother, you know! My youngest brother! Got past McG	 - Sorcerer's Stone.txt	0	39
8	 ?"   "She doesn't know about the troll."   Ron bit his lip.   "Oh, all right," he snapped. "But 	Percy'd better not see us."   Ducking down, they joined the Hufflepuffs going the other way, slipped down	 - Sorcerer's Stone.txt	0	29
9	 and found themselves in the Gryffindor common room, a cozy, round room full of squashy armchairs.   	Percy directed the girls through one door to their dormitory and the boys through another. At the top 	 - Sorcerer's Stone.txt	0	26
10	 ith the prefects today, either," said George. "Christmas is a time for family."   They frog-marched 	Percy from the room, his arms pinned to his side by his sweater.   Harry had never in all 	 - Sorcerer's Stone.txt	0	35
11	  one of the few who did.   "He's not serious?" he muttered to Percy.   "Must be," said 	Percy, frowning at Dumbledore. "It's odd, because he usually gives us a reason why we're not 	 - Sorcerer's Stone.txt	0	18
12	 Or twice --"   "A minute --"   "All summer --"   "Oh, shut up," said Percy the Prefect.   "How come 	Percy gets new robes, anyway?" said one of the twins.   "Because he's a prefect," said their mother 	 - Sorcerer's Stone.txt	0	5
13	  rat, which was asleep.   "His name's Scabbers and he's useless, he hardly ever wakes up. 	Percy got an owl from my dad for being made a prefect, but they couldn't aff -- I 	 - Sorcerer's Stone.txt	0	9
14	  chess set by losing spectacularly to Ron. He suspected he wouldn't have lost so badly if 	Percy hadn't tried to help him so much.   After a meal of turkey sandwiches, crumpets, trifle, and 	 - Sorcerer's Stone.txt	0	37
15	 .   "You!" said Ron furiously. "Go back to bed!"   "I almost told your brother," Hermione snapped, "	Percy -- he's a prefect, he'd put a stop to this."   Harry couldn't believe anyone could 	 - Sorcerer's Stone.txt	0	27
16	 he girls' bathroom. They had just turned the corner when they heard quick footsteps behind them.   "	Percy!" hissed Ron, pulling Harry behind a large stone griffin.   Peering around it, however, they saw no	 - Sorcerer's Stone.txt	0	30
17	 the people in the portraits along the corridors whispered and pointed as they passed, or that twice 	Percy led them through doorways hidden behind sliding panels and hanging tapestries. They climbed more st	 - Sorcerer's Stone.txt	0	20
18	  laughed, but he was one of the few who did.   "He's not serious?" he muttered to 	Percy.   "Must be," said Percy, frowning at Dumbledore. "It's odd, because he usually gives us a reason 	 - Sorcerer's Stone.txt	0	17
19	  scar on Harry's forehead.   "Ouch!" Harry clapped a hand to his head.   "What is it?" asked 	Percy.   "N-nothing."   The pain had gone as quickly as it had come. Harder to shake off was 	 - Sorcerer's Stone.txt	0	15
