1	  whisked around; with Harry clutching on as best he could, they plunged off into the trees, leaving 	Ronan and Bane behind them.   Harry didn't have a clue what was going on.   "Why's Bane 	 - Sorcerer's Stone.txt	0	20
2	  his back.   There was suddenly a sound of more galloping from the other side of the clearing. 	Ronan and Bane came bursting through the trees, their flanks heaving and sweaty.   "Firenze!" Bane thunde	 - Sorcerer's Stone.txt	0	18
3	  off, then."   Harry and Hermione followed him out of the clearing, staring over their shoulders at 	Ronan and Bane until the trees blocked their view.   "Never," said Hagrid irritably, "try an' get a strai	 - Sorcerer's Stone.txt	0	16
4	  has been for ages past, so it is now."   "Yeah," said Hagrid, "but have yeh seen anythin', 	Ronan? Anythin' unusual?"   "Mars is bright tonight," Ronan repeated, while Hagrid watched him impatientl	 - Sorcerer's Stone.txt	0	9
5	  bright tonight."   "Yeah," said Hagrid, glancing up, too. "Listen, I'm glad we've run inter yeh, 	Ronan, 'cause there's a unicorn bin hurt -- you seen anythin'?"   Ronan didn't answer immediately. He sta	 - Sorcerer's Stone.txt	0	7
6	  glad we've run inter yeh, Ronan, 'cause there's a unicorn bin hurt -- you seen anythin'?"   	Ronan didn't answer immediately. He stared unblinkingly upward, then sighed again.   "Always the innocent	 - Sorcerer's Stone.txt	0	8
7	  are yeh?"   He walked forward and shook the centaur's hand.   "Good evening to you, Hagrid," said 	Ronan. He had a deep, sorrowful voice. "Were you going to shoot me?"   "Can't be too careful, 	 - Sorcerer's Stone.txt	0	2
8	  a unicorn bin injured -- would yeh know anythin' about it?"   Bane walked over to stand next to 	Ronan. He looked skyward. "Mars is bright tonight," he said simply.   "We've heard," said Hagrid grumpily	 - Sorcerer's Stone.txt	0	15
9	  bow again, but it was only a second centaur, black-haired and -bodied and wilder-looking than 	Ronan.   "Hullo, Bane," said Hagrid. "All right?"   "Good evening, Hagrid, I hope you are well?"   "Well 	 - Sorcerer's Stone.txt	0	13
10	  to answer. At last, he said, "The forest hides many secrets."   A movement in the trees behind 	Ronan made Hagrid raise his bow again, but it was only a second centaur, black-haired and -bodied 	 - Sorcerer's Stone.txt	0	12
11	  to pass. When he looked up, the figure had gone. A centaur was standing over him, not 	Ronan or Bane; this one looked younger; he had white-blond hair and a palomino body.   "Are you 	 - Sorcerer's Stone.txt	0	17
12	  against the heavens. Have we not read what is to come in the movements of the planets?"   	Ronan pawed the ground nervously. "I'm sure Firenze thought he was acting for the best, " he said 	 - Sorcerer's Stone.txt	0	19
13	 h," said Hagrid, "but have yeh seen anythin', Ronan? Anythin' unusual?"   "Mars is bright tonight," 	Ronan repeated, while Hagrid watched him impatiently. "Unusually bright."   "Yeah, but I was meanin' anyt	 - Sorcerer's Stone.txt	0	10
14	  chestnut body with a long, reddish tail. Harry and Hermione's jaws dropped.   "Oh, it's you, 	Ronan," said Hagrid in relief. "How are yeh?"   He walked forward and shook the centaur's hand.   "Good 	 - Sorcerer's Stone.txt	0	1
15	 . He had a deep, sorrowful voice. "Were you going to shoot me?"   "Can't be too careful, 	Ronan," said Hagrid, patting his crossbow.   "There's summat bad loose in this forest. This is Harry Pott	 - Sorcerer's Stone.txt	0	3
16	  up at the school?"   "Erm --"   "A bit," said Hermione timidly.   "A bit. Well, that's something." 	Ronan sighed. He flung back his head and stared at the sky. "Mars is bright tonight."   "Yeah," said 	 - Sorcerer's Stone.txt	0	6
17	  is Ronan, you two. He's a centaur.)) "We'd noticed," said Hermione faintly.   "Good evening," said 	Ronan. "Students, are you? And do you learn much, up at the school?"   "Erm --"   "A bit," said Hermione 	 - Sorcerer's Stone.txt	0	5
18	 in' unusual a bit nearer home, said Hagrid. "So yeh haven't noticed anythin' strange?"   Yet again, 	Ronan took a while to answer. At last, he said, "The forest hides many secrets."   A movement in 	 - Sorcerer's Stone.txt	0	11
19	  right?"   "Good evening, Hagrid, I hope you are well?"   "Well enough. Look, I've jus' bin askin' 	Ronan, you seen anythin' odd in here lately? There's a unicorn bin injured -- would yeh know anythin' 	 - Sorcerer's Stone.txt	0	14
20	  is Harry Potter an' Hermione Granger, by the way. Students up at the school. An' this is 	Ronan, you two. He's a centaur.)) "We'd noticed," said Hermione faintly.   "Good evening," said Ronan. "S	 - Sorcerer's Stone.txt	0	4
