1	 e me, Professor Flitwick, could I borrow Wood for a moment?"   Wood? thought Harry, bewildered; was 	Wood a cane she was going to use on him? But Wood turned out to be a person, 	 - Sorcerer's Stone.txt	0	4
2	 at for silence.   "Okay, men," he said.   "And women," said Chaser Angelina Johnson.   "And women," 	Wood agreed. "This is it."   "The big one," said Fred Weasley.   "The one we've all been waiting 	 - Sorcerer's Stone.txt	0	42
3	  had it with sneaking around and spying. He felt so ashamed of himself that he went to 	Wood and offered to resign from the Quidditch team.   "Resign?" Wood thundered. "What good'll that do? H	 - Sorcerer's Stone.txt	0	56
4	  walls. Behind the glass, all sorts of lizards and snakes were crawling and slithering over bits of 	wood and stone. Dudley and Piers wanted to see huge, poisonous cobras and thick, man-crushing pythons. D	 - Sorcerer's Stone.txt	0	1
5	  eagle up there -- he's going to sc- no, stopped by an excellent move by Gryffindor Keeper 	Wood and the Gryffindors take the Quaffle -- that's Chaser Katie Bell of Gryffindor there, nice dive aro	 - Sorcerer's Stone.txt	0	45
6	  it that was going to be the problem.   "We won't practice with the Snitch yet," said 	Wood, carefully shutting it back inside the crate, "it's too dark, we might lose it. Let's 	 - Sorcerer's Stone.txt	0	34
7	  the team were changing into their scarlet Quidditch robes (Slytherin would be playing in green).   	Wood cleared his throat for silence.   "Okay, men," he said.   "And women," said Chaser Angelina Johnson	 - Sorcerer's Stone.txt	0	41
8	 's sort of like basketball on broomsticks with six hoops, isn't it?"   "What's basketball?" said 	Wood curiously. "Never mind," said Harry quickly.   "Now, there's another player on each side who's call	 - Sorcerer's Stone.txt	0	25
9	  his legs.   "He caught that thing in his hand after a fifty-foot dive," Professor McGonagall told 	Wood. "Didn't even scratch himself. Charlie Weasley couldn't have done it."   Wood was now looking as 	 - Sorcerer's Stone.txt	0	10
10	 l posts; the Beaters keep the Bludgers away from their team," Harry reeled off.   "Very good," said 	Wood.   "Er -- have the Bludgers ever killed anyone?" Harry asked, hoping he sounded offhand.   "Never a	 - Sorcerer's Stone.txt	0	31
11	 om. She opened the door and poked her head inside.   "Excuse me, Professor Flitwick, could I borrow 	Wood for a moment?"   Wood? thought Harry, bewildered; was Wood a cane she was going to use on 	 - Sorcerer's Stone.txt	0	2
12	 en he was tired out after training.   Then, during one particularly wet and muddy practice session, 	Wood gave the team a bit of bad news. He'd just gotten very angry with the Weasleys, 	 - Sorcerer's Stone.txt	0	52
13	 us Two Thousand turned wherever he wanted at his lightest touch.   "Hey, Potter, come down!' Oliver 	Wood had arrived. fie was carrying a large wooden crate under his arm. Harry landed next to him.   "	 - Sorcerer's Stone.txt	0	20
14	 ld move up into second place in the house championship.   Hardly anyone had seen Harry play because 	Wood had decided that, as their secret weapon, Harry should be kept, well, secret. But the news that 	 - Sorcerer's Stone.txt	0	39
15	  and Wood's game plan.   "Keep out of the way until you catch sight of the Snitch," 	Wood had said. "We don't want you attacked before you have to be."   When Angelina had scored, 	 - Sorcerer's Stone.txt	0	47
16	  his wand up his sleeve.   "I know," Ron snapped. "Don't nag."   Back in the locker room, 	Wood had taken Harry aside.   "Don't want to pressure you, Potter, but if we ever need an 	 - Sorcerer's Stone.txt	0	55
17	  they couldn't carry on.   "That Quidditch cup'll have our name on it this year," said 	Wood happily as they trudged back up to the castle. "I wouldn't be surprised if you turn 	 - Sorcerer's Stone.txt	0	37
18	  bubbles through, except that they were fifty feet high.   Too eager to fly again to wait for 	Wood, Harry mounted his broomstick and kicked off from the ground. What a feeling -- he swooped in and 	 - Sorcerer's Stone.txt	0	19
19	  dark and the damp "So light a fire!" Harry choked.   "Yes -- of course -- but there's no 	wood!" Hermione cried, wringing her hands.   "HAVE YOU GONE MAD?" Ron bellowed. "ARE YOU A WITCH OR NOT?	 - Sorcerer's Stone.txt	0	58
20	  was carrying a large wooden crate under his arm. Harry landed next to him.   "Very nice," said 	Wood, his eyes glinting. "I see what McGonagall meant... you really are a natural. I'm just going 	 - Sorcerer's Stone.txt	0	21
